energy,unc_en,intensity_%,unc_i,type,start level energy  [keV],  end level energy  [keV], multipolarity, mixing ratio, unc, conversion coeff. ,unc, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,Extraction_date
13.846,0.015,1.22,0.17,G,43.8132,29.9677,M1+E2,0.0100,55,54.4, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
29.966,0.001,14.1,0.4,G,29.9677,0.0,M1+(E2),0.009,LE,5.37, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
43.8, ,0.001951,0.000018,G,43.8132,0.0,[E2], ,,44.0, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
63.17,0.22,0.000029,0.000015,G,63.168,0.0,M1, ,,4.06, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
99.49,0.02,0.00002,0.000012,G,162.6585,63.168, , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
113.51,0.03,0.0161,0.0012,G,581.073,467.5350,M1, ,,0.754, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
118.837,0.003,0.061,0.007,G,162.6585,43.8132,M1, ,,0.662, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
132.687,0.001,0.202,0.005,G,162.6585,29.9677,M1, ,,0.486, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
162.66,0.001,6.22,0.09,G,162.6585,0.0,M1+(E2),0.08,LE,0.276, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
183.83,0.09,0.001,0.0005,G, , , , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
275.18,0.18,0.00037,0.00015,G, , , , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
304.849,0.003,4.29,0.06,G,467.5350,162.6585,M1+(E2),+0.1,LE,0.0507, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
418.44,0.04,0.0037,0.0002,G,581.073,162.6585, , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
423.722,0.001,3.1,0.04,G,467.5350,43.8132,M1, ,,0.0217, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
437.575,0.002,1.929,0.02,G,467.5350,29.9677,M1, ,,0.0200, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
467.5, ,0.000488,0.000004,G,467.5350,0.0, , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
537.261,0.009,24.39,0.22,G,581.073,43.8132,M1, ,,0.01196, ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
551.08,0.04,0.00312,0.0002,G,581.073,29.9677, , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
699.89,0.13,0.00083,0.00022,G, , , , ,, , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
5.185, ,13.4, ,X, , , , , , , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
33.034, ,0.548, ,X, , , , , , , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
33.442, ,1.006, ,X, , , , , , , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
37.908, ,0.3, ,X, , , , , , , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
38.273, ,0.375, ,X, , , , , , , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28
38.725, ,0.0758, ,X, , , , , , , ,56,84,Ba, ,0, ,0+,12.751, ,4,d,1101686.4,345.6,B-,100, ,1044,8,57,83,La,2022-01-28

